Site,Long(°E),Lat(°N),Evel,Nvel,SigVe,SigVn,Cor,Solution
TASJ,45.3606,38.316,0.22,13.97,0.11,0.1,0.012,IPGN
TAZA,47.271,38.27,3.29,12.22,0.59,0.61,-0.005,Raeesi
TEHN,51.3341,35.6973,-0.43,11.28,0.16,0.1,0.01,IPGN
TEHR,51.386,35.747,-0.65,12.94,0.79,0.75,0.01,Raeesi
TF01,51.257,35.812,-1.6,12.9,0.42,0.42,0.01,Raeesi
TF09,51.425,35.833,-1.25,12.56,0.5,0.5,0.01,Raeesi
TF16,51.522,35.774,-1.7,12.36,0.41,0.41,0.01,Raeesi
TF20,51.568,35.808,-3.19,11.43,0.51,0.52,0.01,Raeesi
TFSH,50.0521,34.676,-1.56,12.82,0.1,0.1,0.018,IPGN
THED,59.2187,35.347,0.65,3.99,0.13,0.16,0.012,IPGN
TJAM,60.5642,35.2944,-0.19,2.49,0.16,0.18,0.009,IPGN
TKBN,50.9301,36.7859,-3.22,9.94,0.1,0.11,0.015,IPGN
TKCE,47.3928,37.5794,-0.11,12.66,0.29,0.17,0.003,IPGN
TKMN,41.512,39.643,-2.03,6.94,1,1.01,-0.005,Reilinger
TLGN,50.745,36.1436,-3.43,11.42,0.34,0.18,0.002,IPGN
TMN2,54.316,29.239,-2.8,13.15,1.2,1.21,0.002,Raeesi
TN01,51,35.493,-1.03,13.22,0.7,0.7,0.02,Raeesi
TN02,51.17,35.203,-0.68,12.99,0.45,0.46,0.009,Raeesi
TN03,51.379,35.366,-0.78,12.85,0.48,0.49,0.01,Raeesi
TN04,51.409,35.495,-1.28,13.3,0.46,0.47,0.01,Raeesi
TN05,51.515,35.633,-0.31,11.41,0.49,0.5,0.01,Raeesi
TN06,51.724,35.55,-0.46,11.3,0.4,0.4,0.01,Raeesi
TN07,51.994,35.763,-1.75,9.72,0.47,0.48,0.01,Raeesi
TORQ,59.6275,36.2241,0.79,0.82,0.15,0.13,0.01,IPGN
TOTI,58.532,33.019,-0.15,8.65,0.8,0.78,0.016,Raeesi
TPTG,57.2485,34.9019,0.59,8.64,0.37,0.54,0.008,IPGN
TRAB,39.7756,40.9947,-0.56,2.04,0.33,0.28,-0.003,IPGN*
TVAN,42.29,38.529,-3.37,15.28,0.81,0.81,-0.008,Reilinger
UDER,41.548,40.531,0.19,3.55,0.81,0.81,-0.018,Reilinger
VAAN,43.283,38.565,-4.72,12.96,1.01,1.02,-0.005,Reilinger
VLDN,45.1933,38.4915,2.84,13.52,0.13,0.13,0.01,IPGN
VLKK,44.677,43.046,0.64,2.37,1.07,1.08,-0.01,Reilinger
VRMN,51.632,35.344,-0.77,12.72,0.25,0.63,0,Raeesi
VRTO,41.454,39.186,-5.3,10.31,0.49,0.51,-0.024,Reilinger
YAGH,52.235,29.617,-1.74,15.07,1.54,1.53,0,Raeesi
YARD,48.388,38.952,5.41,13.9,0.97,0.89,0.002,Raeesi
YIBL,56.1123,22.1865,6.58,24.69,0.24,0.17,0.001,IPGN*
YKKZ,45.4142,38.6721,4.43,10.68,0.19,0.11,0.008,IPGN
ZABL,61.7159,30.8413,1.46,1.97,0.13,0.18,0.009,IPGN
ZABO,61.517,31.049,0.6,1.95,1.34,1.23,0.015,Raeesi
ZARI,44.5498,38.4458,-0.07,13.67,0.11,0.14,0.01,IPGN
ZECK,41.5651,43.7884,-0.51,0.67,0.13,0.11,0.01,IPGN*
ZHAO,65.6053,26.3927,5.1,13.04,0.86,0.8,0.035,Frohling
ZMAN,56.7719,35.5896,0.27,9.67,0.53,0.56,0.012,IPGN
ZRND,56.6077,30.8332,-1.06,13.66,0.2,0.25,0.006,IPGN
ZVNG,58.515,36.438,1.94,3.52,0.67,0.67,-0.02,Raeesi
